Datetime,ID,Text
2020-10-05 17:05:48,1313163490933309445,"RT @Azerbaijan: JABRAYIL IS LIBERATED! 🇦🇿🇦🇿🇦🇿

#KarabakhIsAzerbaijan https://t.co/1v3c5DjxCS"
2020-10-05 17:05:48,1313163490769530880,"RT @Verginiee: While Azerbaijan seeks help from Turkey, ISIS, jihadists, and Syrian mercenaries, here is our Olympic weightlifter, Nazik Av…"
2020-10-05 17:05:47,1313163489687396352,"RT @_samxal_: Yesterday's strikes from 🇦🇲's territory targeting Azerbaijan's civilian infrastructure,including Hydro Power Station which ma…"
2020-10-05 17:05:47,1313163487640793089,@BrokeLivingJRB @DanBilzerian Blazerian has 40m followers and is of an Armenian decent. Azerbaijan started a war ag… https://t.co/hBC6Pnp8CM
2020-10-05 17:05:47,1313163487196180482,@aytanheydarova Evidence of Armenia's attack on Azerbaijan's critical civilian infrastructure. The rocket landed ne… https://t.co/AmaplqELDh
2020-10-05 17:05:47,1313163487007440897,"RT @azembassyus: “While #Azerbaijan’s goal is to make our bilateral ties even stronger, #Armenia’s motivation in trying to develop ties wit…"
2020-10-05 17:05:46,1313163483815514122,"RT @HikmetHajiyev: Intensive missile/rocket attacks by Armenia against Ganja, Mingachevir, Barda,Tartar and other major cities of Azerbaija…"
2020-10-05 17:05:46,1313163483110944779,"RT @ScourgeOfTengri: 18+ 🔥 Dead &amp; wounded terrorists of #ArmenianArmy in hospital, the hospitals are full with this terrorist. ⚔️🇦🇿#Azerbai…"
2020-10-05 17:05:45,1313163478237089794,RT @Karabakh_isAZE: Proof of Armenia's deliberate and targeted attack against critical civilian infrastructure of Azerbaijan. #Missile land…
2020-10-05 17:05:45,1313163477968711683,"RT @goharkhan47: Azerbaijan:

Azerbaijani army capture villages of Şıheli Ağalı, Sarıcalı, Mezre and several strategic hills in Jabrayil re…"
2020-10-05 17:05:45,1313163477691719680,RT @ArmenianUnified: #Azerbaijan continues to strike at civilian infrastructures in #Stepanakert. Even Schools and kindergartens aren't spa…
2020-10-05 17:05:45,1313163477314396176,"RT @Artak_Beglaryan: Look what distructions #Azerbaijan did only today in capital #Stepanakert of #Artsakh/#Karabakh w/ heavy missiles.
Sch…"
2020-10-05 17:05:44,1313163474521010178,"RT @MediamaxNews: Թշնամին հայտնվել է ծուղակում եւ 200 զոհ տվել - https://t.co/zK3exR0sX1 https://t.co/AGnPtMxLmS

#Artsakh #ArtsakhStrong #…"
2020-10-05 17:05:44,1313163473531133952,"RT @KarabakhRecords: According to the info we are getting from the commanders who are involved in active military operations, Azerbaijan ha…"
2020-10-05 17:05:43,1313163472830697477,"RT @ArtsakhOfficial: While the existential security of the people of #Artsakh is our main concern, #Azerbaijan uses its own civilian settle…"
2020-10-05 17:05:43,1313163470767116290,"RT @ManeAdamian: ❗️🇦🇲🇪🇺
48 Members of the European Parliament sent a letter to @JosepBorrellF condemning #Azerbaijan's aggression against #…"
2020-10-05 17:05:43,1313163469412347904,"RT @Shawonh21661829: Hello my Turkish and Azerbaijan Brother what's UP 😊 ?

I am Your Bangladeshi🇧🇩 Friend.
Remember me?"
2020-10-05 17:05:42,1313163464869908486,RT @patrick_edery: 😱L'Azerbaijan utilise contre les civils arméniens des armes à sous munitions ce qui est totalement interdit par le droit…
